,account_value,date,daily_return,datadate
0,1000000.0,2022-01-04,,2022-01-04
1,1012284.8073874512,2022-01-05,0.0122848073874513,2022-01-05
2,1021700.4966467286,2022-01-06,0.0093014230684522,2022-01-06
3,1023158.4296629182,2022-01-07,0.0014269671209661,2022-01-07
4,1047466.6924239198,2022-01-10,0.0237580633226175,2022-01-10
5,1051516.8808089297,2022-01-11,0.0038666512398952,2022-01-11
6,1054008.3835427058,2022-01-12,0.0023694367434781,2022-01-12
7,1046997.1795784724,2022-01-13,-0.0066519432612742,2022-01-13
8,1051643.8947139855,2022-01-14,0.0044381352941029,2022-01-14
9,1066936.7827872622,2022-01-17,0.0145418883237427,2022-01-17
10,1040615.0318415606,2022-01-18,-0.0246703941323859,2022-01-18
11,1042438.9347100604,2022-01-19,0.0017527162425012,2022-01-19
12,1028320.4331086812,2022-01-20,-0.0135437205300722,2022-01-20
13,1026410.5030397114,2022-01-21,-0.001857329687786,2022-01-21
14,1009154.8288674168,2022-01-24,-0.0168116695232481,2022-01-24
15,1014862.0732839818,2022-01-25,0.005655469560573,2022-01-25
16,990427.440898728,2022-01-27,-0.0240768012013554,2022-01-27
17,987904.7517490392,2022-01-28,-0.002547071138699,2022-01-28
18,998086.9964677356,2022-01-31,0.0103069093459358,2022-01-31
19,1007862.5722708364,2022-02-01,0.0097943123572361,2022-02-01
20,1006732.0715922054,2022-02-02,-0.0011216813777336,2022-02-02
21,996682.7080057797,2022-02-03,-0.009982162950796,2022-02-03
22,996517.6251503108,2022-02-04,-0.000165632306192,2022-02-04
23,982449.678815472,2022-02-07,-0.0141171073945801,2022-02-07
24,984028.1662634092,2022-02-08,0.0016066852908336,2022-02-08
25,999173.851452557,2022-02-09,0.0153915159224149,2022-02-09
26,1000917.88692619,2022-02-10,0.0017454774973317,2022-02-10
27,984067.146939816,2022-02-11,-0.0168352870964494,2022-02-11
28,955177.710762463,2022-02-14,-0.0293571798095193,2022-02-14
29,984483.4153666652,2022-02-15,0.0306808924391768,2022-02-15
30,982758.7898939176,2022-02-16,-0.0017518075427461,2022-02-16
31,976759.3955305142,2022-02-17,-0.0061046458450408,2022-02-17
32,973807.2236016812,2022-02-18,-0.0030224146727859,2022-02-18
33,964742.2298813747,2022-02-21,-0.0093088174954987,2022-02-21
34,954999.0417710232,2022-02-22,-0.0100992656987241,2022-02-22
35,958375.3719712186,2022-02-23,0.0035354278407797,2022-02-23
36,921416.9749531216,2022-02-24,-0.0385635921988266,2022-02-24
37,946688.1595219084,2022-02-25,0.027426436950624,2022-02-25
38,960477.22163197,2022-02-28,0.014565579986788,2022-02-28
39,957860.4966474692,2022-03-02,-0.0027244008765296,2022-03-02
40,944991.678265206,2022-03-03,-0.013434960964884,2022-03-03
41,919975.5668153388,2022-03-04,-0.0264723087252908,2022-03-04
42,900109.456203217,2022-03-07,-0.0215941719853406,2022-03-07
43,899209.4300927434,2022-03-08,-0.000999907404895,2022-03-08
44,930811.3330790716,2022-03-09,0.0351440965016001,2022-03-09
45,948510.2799048164,2022-03-10,0.0190145373146646,2022-03-10
46,953457.3685212714,2022-03-11,0.0052156404851526,2022-03-11
47,959175.8547675024,2022-03-14,0.0059976318134704,2022-03-14
48,956778.3632210928,2022-03-15,-0.0024995328380015,2022-03-15
49,972257.31261612,2022-03-16,0.016178197574322,2022-03-16
50,999526.4288291328,2022-03-17,0.0280472215113896,2022-03-17
51,995131.2459497076,2022-03-21,-0.0043972652975005,2022-03-21
52,1004131.7230310064,2022-03-22,0.0090445125885973,2022-03-22
53,1000392.4946374518,2022-03-23,-0.0037238425077017,2022-03-23
54,987258.137703858,2022-03-24,-0.0131292037915116,2022-03-24
55,962631.7240991218,2022-03-25,-0.0249442498007783,2022-03-25
56,966404.7467646262,2022-03-28,0.0039194871424328,2022-03-28
57,966290.0240787512,2022-03-29,-0.0001187108054456,2022-03-29
58,964607.8730028692,2022-03-30,-0.001740834567226,2022-03-30
59,968554.7058886116,2022-03-31,0.0040916449017314,2022-03-31
60,967495.734712464,2022-04-01,-0.0010933519497754,2022-04-01
61,968031.1498125616,2022-04-04,0.0005534030599698,2022-04-04
62,979823.7897356574,2022-04-05,0.012182087245208,2022-04-05
63,972264.966127259,2022-04-06,,2022-04-06
64,951848.9311823128,2022-04-07,-0.0209984270298947,2022-04-07
65,946072.6897506112,2022-04-08,-0.0060684434708844,2022-04-08
66,942990.0305234992,2022-04-11,-0.003258374605364,2022-04-11
67,943833.6997129524,2022-04-12,0.0008946745587381,2022-04-12
68,930470.2797758186,2022-04-13,-0.0141586594557897,2022-04-13
69,934199.2109891976,2022-04-18,0.0040075769150598,2022-04-18
70,918903.789510926,2022-04-19,-0.0163727621457479,2022-04-19
71,942321.2231962288,2022-04-20,0.0254840974132519,2022-04-20
72,963166.9334013067,2022-04-21,0.02212166052503,2022-04-21
73,964483.1658994758,2022-04-22,0.0013665673649332,2022-04-22
74,962455.7166196906,2022-04-25,-0.002102109556152,2022-04-25
75,962320.4285032356,2022-04-26,-0.0001405655492704,2022-04-26
76,947329.496893128,2022-04-27,-0.015577900215029,2022-04-27
77,957910.6878873908,2022-04-28,0.0111694938550577,2022-04-28
78,936737.014623841,2022-04-29,-0.0221040160959545,2022-04-29
79,923931.1251890266,2022-05-02,-0.0136707413445776,2022-05-02
80,900339.2727109992,2022-05-04,-0.0255342111926369,2022-05-04
81,904572.0720884406,2022-05-05,0.0047013381574438,2022-05-05
82,887500.5452024543,2022-05-06,-0.0188724894485988,2022-05-06
83,894249.4884245002,2022-05-09,0.0076044383955915,2022-05-09
84,906210.4535123908,2022-05-10,0.013375422902353,2022-05-10
85,893849.8705656135,2022-05-11,-0.0136398591506738,2022-05-11
86,879964.3060361946,2022-05-12,-0.0155345600941155,2022-05-12
87,863281.959219178,2022-05-13,-0.0189579812528559,2022-05-13
88,877241.6816770637,2022-05-16,0.0161705249470427,2022-05-16
89,911828.6134550178,2022-05-17,0.0394269133585087,2022-05-17
90,913402.4456235968,2022-05-18,0.0017260175271487,2022-05-18
91,887843.9608366096,2022-05-19,-0.0279816250869988,2022-05-19
92,908682.7063505256,2022-05-20,0.0234711801094866,2022-05-20
93,939172.575323304,2022-05-23,0.0335539223534169,2022-05-23
94,927749.5067045296,2022-05-24,-0.0121629069235141,2022-05-24
95,922256.556875428,2022-05-25,-0.0059207251412217,2022-05-25
96,927067.8643247688,2022-05-26,0.0052168861402746,2022-05-26
97,943417.0621702278,2022-05-27,0.017635384069069,2022-05-27
98,953328.0513364876,2022-05-30,0.0105054164946525,2022-05-30
99,950397.0239774788,2022-05-31,-0.0030745212572941,2022-05-31
100,945046.6569425666,2022-06-01,-0.0056296125723547,2022-06-01
101,944896.23691388,2022-06-02,-0.0001591667750808,2022-06-02
102,924133.247701844,2022-06-03,-0.0219738299306281,2022-06-03
103,924712.0984098518,2022-06-06,0.0006263714777574,2022-06-06
104,933030.0363676156,2022-06-07,0.0089951650595545,2022-06-07
105,941475.120092591,2022-06-08,0.0090512452930811,2022-06-08
106,947046.705602845,2022-06-09,0.0059179317555475,2022-06-09
107,942829.3821317756,2022-06-10,-0.0044531314518271,2022-06-10
108,933639.4520017708,2022-06-13,-0.0097471825806129,2022-06-13
109,924081.0913297737,2022-06-14,-0.0102377429011846,2022-06-14
110,925845.831899842,2022-06-15,0.0019097247921486,2022-06-15
111,917192.8351041876,2022-06-16,-0.0093460449866672,2022-06-16
112,916275.7377015082,2022-06-17,-0.0009998959516243,2022-06-17
113,913198.5162230995,2022-06-20,-0.0033584011360247,2022-06-20
114,927064.0146972206,2022-06-21,0.0151834439366671,2022-06-21
115,925556.3851348428,2022-06-22,-0.0016262410561479,2022-06-22
116,979364.405154374,2022-06-23,0.0581358638800726,2022-06-23
117,989391.0630370644,2022-06-24,0.0102379235246046,2022-06-24
118,999985.8219481972,2022-06-27,0.0107083632619551,2022-06-27
119,1005108.0544005898,2022-06-28,0.0051223050766993,2022-06-28
120,1005755.6884795692,2022-06-29,0.0006443427412048,2022-06-29
121,1000837.10328975,2022-06-30,-0.0048904373558701,2022-06-30
122,992070.1870757608,2022-07-01,-0.0087595835377929,2022-07-01
123,997692.9585448768,2022-07-04,0.0056677153918816,2022-07-04
124,987724.2068206336,2022-07-05,-0.0099918032285027,2022-07-05
125,1018754.8968841104,2022-07-06,0.03141635068696,2022-07-06
126,1017548.1285430458,2022-07-07,,2022-07-07
127,1003235.6105320444,2022-07-08,-0.0140656914494006,2022-07-08
128,1007862.5026829232,2022-07-11,0.0046119696134241,2022-07-11
129,997243.1845676888,2022-07-12,-0.0105364750518704,2022-07-12
130,1001196.4246189584,2022-07-13,0.0039641685322555,2022-07-13
131,1014665.2207615364,2022-07-14,0.0134527009999103,2022-07-14
132,1038692.5277073372,2022-07-15,0.0236800340192675,2022-07-15
133,1030978.9775364388,2022-07-18,-0.0074262112849933,2022-07-18
134,1031509.9175999154,2022-07-19,0.0005149863140228,2022-07-19
135,1037154.2391941536,2022-07-20,0.0054719024004843,2022-07-20
136,1041543.7834780586,2022-07-21,0.0042322965264216,2022-07-21
137,1045880.844803132,2022-07-22,0.004164070098513,2022-07-22
138,1022642.9119723212,2022-07-25,-0.0222185279960688,2022-07-25
139,1011630.7457507028,2022-07-26,-0.0107683396547285,2022-07-26
140,1027259.8634112251,2022-07-27,0.0154494292766127,2022-07-27
141,1034004.6286776436,2022-07-28,0.0065657829208094,2022-07-28
142,1040687.1969759834,2022-07-29,0.0064628030794078,2022-07-29
143,1067569.7182085884,2022-08-01,0.0258315095167116,2022-08-01
144,1085827.960579194,2022-08-02,0.0171026229567876,2022-08-02
145,1069936.9514109811,2022-08-03,-0.0146349235285268,2022-08-03
146,1073952.2778269968,2022-08-04,0.0037528626436542,2022-08-04
147,1059375.103693696,2022-08-05,-0.0135733909543874,2022-08-05
148,1068127.1633250436,2022-08-08,0.0082615304067765,2022-08-08
149,1064483.356074067,2022-08-10,-0.0034113983578822,2022-08-10
150,1057374.0476634223,2022-08-11,-0.006678646847861,2022-08-11
151,1043963.3610179146,2022-08-12,-0.0126830109696212,2022-08-12
152,1077590.3633982858,2022-08-16,0.0322109028305201,2022-08-16
153,1070297.2952830514,2022-08-17,-0.0067679411054075,2022-08-17
154,1071298.9038035593,2022-08-18,0.0009358227147933,2022-08-18
155,1052806.0062205514,2022-08-19,-0.0172621268605337,2022-08-19
156,1035635.9363352974,2022-08-22,-0.0163088639158628,2022-08-22
157,1047479.0398509224,2022-08-23,0.0114355857112615,2022-08-23
158,1045345.1351268012,2022-08-24,-0.0020371813114511,2022-08-24
159,1047634.7796580512,2022-08-25,0.0021903239937806,2022-08-25
160,1045518.644037934,2022-08-26,-0.0020199173043948,2022-08-26
161,1057381.0073191845,2022-08-29,0.0113459127189123,2022-08-29
162,1086347.0327098093,2022-08-30,0.0273941230172685,2022-08-30
163,1078534.8875071723,2022-09-01,-0.0071912059106471,2022-09-01
164,1065953.1961582268,2022-09-02,-0.0116655395153938,2022-09-02
165,1070116.006651696,2022-09-05,0.0039052469737623,2022-09-05
166,1064791.2054889763,2022-09-06,-0.0049759102093805,2022-09-06
167,1054034.4067164697,2022-09-07,-0.0101022610978148,2022-09-07
168,1054660.413141732,2022-09-08,0.0005939146020979,2022-09-08
169,1071252.1624334725,2022-09-09,0.0157318403962041,2022-09-09
170,1070053.2686041268,2022-09-12,-0.0011191518406107,2022-09-12
171,1069763.93779358,2022-09-13,-0.0002703891656947,2022-09-13
172,1074076.8472021492,2022-09-14,0.0040316459138309,2022-09-14
173,1097771.9873074272,2022-09-15,0.0220609355531693,2022-09-15
174,1094926.383542291,2022-09-16,-0.0025921628517012,2022-09-16
175,1104398.0423252496,2022-09-19,0.0086504982666655,2022-09-19
176,1110977.3599827203,2022-09-20,0.0059573789569731,2022-09-20
177,1103879.6850559623,2022-09-21,-0.006388676477501,2022-09-21
178,1119931.7076084528,2022-09-22,0.0145414602422695,2022-09-22
179,1113876.7161838922,2022-09-23,-0.0054065720109761,2022-09-23
180,1058063.8355381405,2022-09-26,-0.0501068743379116,2022-09-26
181,1052431.84133648,2022-09-27,-0.0053229247730555,2022-09-27
182,1047051.7715453118,2022-09-28,-0.005112036314234,2022-09-28
183,1036690.02862539,2022-09-29,-0.0098961132596426,2022-09-29
184,1058778.8643187494,2022-09-30,0.0213070783777562,2022-09-30
185,1029124.9090323572,2022-10-03,-0.0280076947942028,2022-10-03
186,1046473.96721412,2022-10-04,0.0168580684710812,2022-10-04
187,1047846.1029893808,2022-10-06,0.0013111991489991,2022-10-06
188,1055684.677696412,2022-10-07,0.007480654539506,2022-10-07
189,1063638.3388902596,2022-10-10,,2022-10-10
190,1030605.3226984874,2022-10-11,-0.0310566242151791,2022-10-11
191,1045511.5012885828,2022-10-12,0.0144635179557057,2022-10-12
192,1041949.0859672328,2022-10-13,-0.0034073420684128,2022-10-13
193,1053385.1092445157,2022-10-14,0.0109756066119746,2022-10-14
194,1049127.4022361538,2022-10-17,-0.0040419282283337,2022-10-17
195,1072931.9703132412,2022-10-18,0.022689873533328,2022-10-18
196,1084604.5846092007,2022-10-19,0.0108791746531251,2022-10-19
197,1097487.3673087857,2022-10-20,0.0118778611877496,2022-10-20
198,1102831.3197089932,2022-10-21,0.0048692609677245,2022-10-21
199,1130393.4507056973,2022-10-24,0.0249921547421929,2022-10-24
200,1113078.72423475,2022-10-25,-0.0153174334654343,2022-10-25
201,1110057.5991279385,2022-10-27,-0.0027142061392724,2022-10-27
202,1116979.5337592862,2022-10-28,0.0062356535703962,2022-10-28
203,1131717.681128671,2022-10-31,0.0131946440592176,2022-10-31
204,1140915.6188117764,2022-11-01,0.0081274136089597,2022-11-01
205,1130686.798491647,2022-11-02,-0.0089654485848675,2022-11-02
206,1131719.4903861785,2022-11-03,0.0009133315219642,2022-11-03
207,1132240.7379752896,2022-11-04,0.0004605801998986,2022-11-04
208,1134382.311484506,2022-11-07,0.0018914471431632,2022-11-07
209,1126081.473883798,2022-11-09,-0.0073174956244206,2022-11-09
210,1116402.5106117032,2022-11-10,-0.0085952601979255,2022-11-10
211,1127202.3630897305,2022-11-11,0.0096737980928669,2022-11-11
212,1116289.663184335,2022-11-14,-0.0096812251843432,2022-11-14
213,1115210.2012702725,2022-11-15,-0.0009670087878295,2022-11-15
214,1117468.1925880215,2022-11-16,0.0020247226174734,2022-11-16
215,1116553.779502084,2022-11-17,-0.0008182900345644,2022-11-17
216,1112620.2098151944,2022-11-18,-0.0035229558657208,2022-11-18
217,1104503.4780189297,2022-11-21,-0.0072951504247912,2022-11-21
218,1101390.3404609463,2022-11-22,-0.0028185855635033,2022-11-22
219,1099276.8214484951,2022-11-23,-0.0019189554645691,2022-11-23
220,1109601.15543287,2022-11-24,0.0093919327533631,2022-11-24
221,1103370.818701913,2022-11-25,-0.0056149335285492,2022-11-25
222,1114353.2552253506,2022-11-28,0.0099535317930177,2022-11-28
223,1125190.5592109463,2022-11-29,0.0097251961483291,2022-11-29
224,1131791.439322641,2022-11-30,0.0058664552929801,2022-11-30
225,1130407.7360145352,2022-12-01,-0.001222577994523,2022-12-01
226,1116153.873114755,2022-12-02,-0.0126094881038544,2022-12-02
227,1116412.1132270596,2022-12-05,0.0002313660495429,2022-12-05
228,1123200.62267225,2022-12-06,0.0060806483240027,2022-12-06
229,1126897.9851905606,2022-12-07,0.0032918095340028,2022-12-07
230,1128820.3868781826,2022-12-08,0.0017059234401746,2022-12-08
231,1143830.3696052334,2022-12-09,0.0132970514189256,2022-12-09
232,1154541.8944160244,2022-12-12,0.009364609556999,2022-12-12
233,1152249.3022681973,2022-12-13,-0.0019857158574455,2022-12-13
234,1142883.6761543057,2022-12-14,-0.0081281247864115,2022-12-14
235,1127106.8444282317,2022-12-15,-0.0138044072684297,2022-12-15
236,1126193.4377509854,2022-12-16,-0.0008103993705312,2022-12-16
237,1141248.4482337737,2022-12-19,0.0133680502639519,2022-12-19
238,1140200.248099496,2022-12-20,-0.0009184679601532,2022-12-20
239,1146349.6976539397,2022-12-21,0.0053933066272291,2022-12-21
240,1140780.3381416104,2022-12-22,-0.0048583425491601,2022-12-22
241,1126773.4451209805,2022-12-23,-0.012278343649793,2022-12-23
242,1120864.6057807703,2022-12-26,-0.0052440349617713,2022-12-26
243,1121106.2295448086,2022-12-27,0.0002155690908536,2022-12-27
244,1122731.6896735928,2022-12-28,0.0014498716410167,2022-12-28
245,1120089.982413461,2022-12-29,-0.0023529283838954,2022-12-29
246,1108344.57038038,2022-12-30,-0.0104861325585406,2022-12-30
247,1107519.80525892,2023-01-02,-0.0007441414371497,2023-01-02
248,1114099.381812265,2023-01-03,0.0059408206716506,2023-01-03
249,1102800.7206031582,2023-01-04,-0.0101415200417105,2023-01-04
250,1115903.1647865078,2023-01-05,0.0118810624064367,2023-01-05
251,1119434.0491554043,2023-01-06,0.0031641494354681,2023-01-06
