date,ensemble,dji
2022-01-03,1000000.0,1000000.0
2022-01-04,1003626.5451080322,1005865.5049902436
2022-01-05,998610.411889267,995136.0138376162
2022-01-06,997494.8909923554,990471.7975821542
2022-01-07,996087.9827905732,990340.3615824638
2022-01-10,986817.8197427826,985890.7565044003
2022-01-11,990527.0954080658,990896.8558394794
2022-01-12,986866.1450716096,991943.7526526102
2022-01-13,988502.2612520294,987113.9334438421
2022-01-14,973089.7327905732,981597.6787825888
2022-01-18,954838.0687357024,966746.2649914182
2022-01-19,941272.488550766,957457.7651075325
2022-01-20,932680.8056970672,948895.3129879801
2022-01-21,921372.4821191864,936594.6758276811
2022-01-24,925699.42537175,939304.2220211355
2022-01-25,930024.7366319732,937479.1728394073
2022-01-26,925154.825407608,933935.63266254
2022-01-27,918675.7843118744,933735.8627556182
2022-01-28,937145.6150461274,949170.7840515067
2022-01-31,936208.4895643158,960278.8877588881
2022-02-01,939417.2128156588,967751.3072863698
2022-02-02,942820.7733373566,973876.4811240927
2022-02-03,934214.0449201508,959713.1043613582
2022-02-04,933887.9081316986,959127.5681937693
2022-02-07,935532.8700495758,959165.5789296668
2022-02-08,942149.5701724092,969324.1616417221
2022-02-09,949193.2122126616,977668.4791167842
2022-02-10,938779.16353331,963278.2124276955
2022-02-11,925563.9819155732,949514.9093374547
2022-02-14,921001.735848526,944816.6329001071
2022-02-15,932162.7050410308,956369.6544066027
2022-02-16,929976.9557162324,954878.0533378178
2022-02-17,917458.7119494476,937870.0641431168
2022-02-18,912137.3271342316,931505.4013148939
2022-02-22,894439.9378596344,918315.0353280962
2022-02-23,881079.3577815094,905609.092680531
2022-02-24,878937.5032969513,908125.5955860567
2022-02-25,899530.006009201,930946.9851667373
2022-02-28,890804.1420718231,926405.5564008318
2022-03-01,867419.7697001495,910069.5884750595
2022-03-02,881670.8110590973,926371.3894472161
2022-03-03,875716.1705485382,923728.4688133122
2022-03-04,865815.2677126923,918812.2712749346
2022-03-07,839010.618622879,897015.8903027246
2022-03-08,834498.30749617,891966.3348735155
2022-03-09,852928.9536715546,909831.8078322402
2022-03-10,849859.8655787506,906765.5372886921
2022-03-11,845689.4444056549,900482.1277470364
2022-03-14,849703.1624041595,900510.7425706895
2022-03-15,867101.2951823273,916886.32280831
2022-03-16,884931.6984454193,931065.9288740121
2022-03-17,894361.521962265,942482.0690225849
2022-03-18,902082.9136286774,949976.0564395365
2022-03-21,891170.947995285,944456.2783111915
2022-03-22,899549.0351954498,951411.9226652359
2022-03-23,883546.4658061066,939140.2206437801
2022-03-24,891272.7853098908,948691.6992987766
2022-03-25,895606.6196833649,952881.849072821
2022-03-28,897431.8957873383,955469.0348636392
2022-03-29,909248.5573855438,964716.0005445358
2022-03-30,905739.0386744536,962928.855326975
2022-03-31,891061.0597811737,947882.9034436552
2022-04-01,895068.8777705231,951707.3600422817
2022-04-04,894485.096257309,954539.3734101022
2022-04-05,886589.7411057816,946866.8636605087
2022-04-06,881508.3906253433,942912.5726381426
2022-04-07,882255.6036384049,945292.1941857454
2022-04-08,884432.1193055687,949051.947115962
2022-04-11,873715.0804519539,937762.0111523072
2022-04-12,867946.9721596336,935364.345182326
2022-04-13,879876.6591267167,944773.3903494372
2022-04-14,877741.4865647736,941674.8747434141
2022-04-18,877023.9771112137,940594.1312918579
2022-04-19,890122.2134602586,954247.4595001481
2022-04-20,900170.4027883302,961069.6391916312
2022-04-21,894351.5576268617,951010.1406450614
2022-04-22,873068.4366794511,924185.9856765724
2022-04-25,878746.9212379686,930693.0819926808
2022-04-26,855643.4760492174,908572.5420480419
2022-04-27,856360.3484474642,910260.389556657
2022-04-28,871903.0075431444,927055.7962368303
2022-04-29,844851.0125483782,901384.669181141
2022-05-02,840414.9513121874,903688.589572139
2022-05-03,841925.2392527773,905527.8393939637
2022-05-04,862424.192654114,931010.0872591964
2022-05-05,839537.5823136828,901952.0541546214
2022-05-06,827060.8086310617,899257.0289164537
2022-05-09,807114.2916912043,881389.8476100483
2022-05-10,803161.672680279,879067.6158673469
2022-05-11,797721.1633894312,870139.6307299716
2022-05-12,786734.365275387,867302.1720039186
2022-05-13,800776.8169836809,880049.4353110127
2022-05-16,797440.5882022325,880780.8750477136
2022-05-17,776037.4918996126,892566.2852246611
2022-05-18,775261.472168236,860735.817377633
2022-05-19,772419.6319073185,854259.4179339136
2022-05-20,772177.5507536894,854499.1204678736
2022-05-23,776929.5134847456,871400.5514759857
2022-05-24,776398.6056901137,872722.919352643
2022-05-25,778463.4273691988,877961.6742874989
2022-05-26,787030.4204703949,892090.6705531576
2022-05-27,798438.0868611189,907828.5566330603
2022-05-31,796349.1583310745,901737.549748953
2022-06-01,790390.1444208801,896902.4987254125
2022-06-02,802402.1585006454,908793.9866161636
2022-06-03,794325.6130250785,899265.9977417779
2022-06-06,794305.1103159721,899705.5769543898
2022-06-07,800536.4524436577,906931.4605571884
2022-06-08,792782.9742348375,899572.1122918285
2022-06-09,774185.1563646592,882130.3095579384
2022-06-10,754073.8257832994,858076.7742124917
2022-06-13,726130.5104319429,834131.2384719898
2022-06-14,728519.8259435358,829978.9926621128
2022-06-15,740351.3248709039,838280.1743582352
2022-06-16,720519.5194432192,818013.4585765727
2022-06-17,725065.3412418985,816966.8286927671
2022-06-21,738725.3173704691,834500.5085003644
2022-06-22,732681.9308493624,833212.5745066479
2022-06-23,729731.5376121416,838521.531854011
2022-06-24,749114.8749605074,861025.8093964461
2022-06-27,746437.9408697862,859319.6505361276
2022-06-28,738117.0682976046,845891.5039065107
2022-06-29,733650.6639001169,848141.611345564
2022-06-30,728566.8417986345,841202.142908622
2022-07-01,736689.0960920228,849998.905589767
2022-07-05,735357.0491873941,846460.8641569972
2022-07-06,735446.183235856,848370.369777194
2022-07-07,746166.7568444528,857851.5926338184
2022-07-08,745296.979202775,856583.304638431
2022-07-11,740855.3647933741,852092.1119715134
2022-07-12,744479.7391845179,846830.1341853718
2022-07-13,739249.2735746966,841129.965219109
2022-07-14,740939.7721663829,837231.6759691536
2022-07-15,754344.453479661,855219.6161022446
2022-07-18,753352.1525892497,849325.1225872926
2022-07-19,775467.1467053385,869946.694213773
2022-07-20,780770.2664768648,871252.9395591929
2022-07-21,788456.892002534,875682.6317096023
2022-07-22,784366.1635365611,871921.2238175699
2022-07-25,783905.8660611125,874401.744650069
2022-07-26,773756.7213216258,868156.0255291206
2022-07-27,782735.6668946658,880074.8469827644
2022-07-28,791991.3992078829,889150.7109662574
2022-07-29,801694.7627561617,897774.3966729929
2022-08-01,800893.072602254,896497.0864664163
2022-08-02,798080.7061281024,885502.7480374022
2022-08-03,804432.6799962817,896882.5324118934
2022-08-04,799661.2393427669,894540.6012849978
2022-08-05,800998.2141068354,896635.6761720199
2022-08-08,803171.6460144892,897430.2713870449
2022-08-09,805189.757029809,895841.4012721851
2022-08-10,817571.3813317195,910467.6334846823
2022-08-11,819536.3413689509,911210.0173237132
2022-08-12,830218.4249298945,922809.8048479704
2022-08-15,834234.2771103755,926947.8500177509
2022-08-16,837520.9242928401,933496.1602216582
2022-08-17,834227.3789322749,928803.2223708129
2022-08-18,835429.6485855952,929314.8725012079
2022-08-19,829766.8201554194,921325.2507133685
2022-08-22,815878.180606164,903746.2463063655
2022-08-23,811236.691783227,899536.3437622621
2022-08-24,812907.41547326,901166.5345366508
2022-08-25,821131.0584633723,909982.9966019897
2022-08-26,800550.5821755305,882420.3549626165
2022-08-29,797669.1261780635,877379.7683587316
2022-08-30,789579.5333569422,868957.7210641939
2022-08-31,784641.1825211421,861292.3116346485
2022-09-01,787284.8269074336,865282.7448876362
2022-09-02,778536.9513695613,856044.5344886034
2022-09-06,774585.7707703486,851312.037711775
2022-09-07,783768.5982830897,863228.8838884128
2022-09-08,788416.1356060877,868510.8279880736
2022-09-09,796160.5845959559,878820.8130133385
2022-09-12,799875.5380318537,885097.389164271
2022-09-13,769774.1155770198,850209.6729848838
2022-09-14,769987.2082302943,851032.9364094269
2022-09-15,769644.6547768489,846296.8627796419
2022-09-16,765524.1373494044,842486.5534352469
2022-09-19,768256.7898152247,847878.3656451281
2022-09-20,761985.8786251917,839310.6817108035
2022-09-21,749914.3683159724,825030.2297460701
2022-09-22,749396.9834454432,822102.8158374507
2022-09-23,735084.0520966426,808811.3370222966
2022-09-26,725727.8638546839,799802.2053700841
2022-09-27,721946.6906330958,796363.0879452047
2022-09-28,736281.720784463,811362.3805824933
2022-09-29,725304.2323315516,798840.0319247473
2022-09-30,714871.3788922206,785170.5277993546
2022-10-03,734275.1337712184,806091.1136558373
2022-10-04,755075.8177178279,828653.047932499
2022-10-05,753471.9500661785,827492.706156191
2022-10-06,743001.9121350795,818009.881723616
2022-10-07,726403.2118229076,800785.6263897007
2022-10-10,724103.2229610949,798218.780613457
2022-10-11,725925.9072710964,799211.2238442628
2022-10-12,725125.8808581325,798436.5949427569
2022-10-13,745316.0129191371,821065.2615506992
2022-10-14,737524.345808694,810025.4917505492
2022-10-17,750503.3878352138,825086.0179750208
2022-10-18,757989.5884654018,834324.2283740534
2022-10-19,754900.058649728,831591.1390141231
2022-10-20,749545.6522433254,829125.0857510457
2022-10-21,768149.6475588771,849597.1235695925
2022-10-24,778983.471174905,860996.8208717378
2022-10-25,786002.1092822048,870211.5414901597
2022-10-26,790151.843226144,870276.2985444344
2022-10-27,796430.8017069789,875583.6543158469
2022-10-28,816863.1159541103,898230.0984168422
2022-10-31,815573.3007914516,894708.1261294447
2022-11-01,811947.6121432277,892528.2744887637
2022-11-02,799646.1897112819,878712.8134083939
2022-11-03,798041.7352969142,874708.1795153097
2022-11-04,805316.7485148403,885695.4710101407
2022-11-07,813231.9990183803,897278.8690738353
2022-11-08,818466.4483820888,906403.5811238257
2022-11-09,799673.6513468715,888721.8089266506
2022-11-10,823096.7996546718,921561.216236777
2022-11-11,819549.6775271388,922449.2367155949
2022-11-14,813948.0508143398,916677.4773043342
2022-11-15,812423.9910113307,918214.2428149299
2022-11-16,814763.6908785793,917145.6713405991
2022-11-17,815042.206545541,916940.4560754449
2022-11-18,822066.3929621669,922389.9784054176
2022-11-21,825550.7985064479,921148.7570435975
2022-11-22,833791.7576243373,932022.6035752513
2022-11-23,836709.5031382533,934645.451123906
2022-11-25,842260.4954134914,938826.7388443562
2022-11-28,829091.0560099575,925226.3694141703
2022-11-29,828432.7235018703,925310.2919939887
2022-11-30,846276.7906710597,945461.6409213332
2022-12-01,842909.9604556056,940138.2160045485
2022-12-02,845496.2637316677,941091.2604669661
2022-12-05,834003.4738985988,927895.2355784759
2022-12-06,829300.1112009975,918307.6680787228
2022-12-07,831640.4026629421,918350.9106293927
2022-12-08,836879.9642779323,923368.2209961268
2022-12-09,829821.6328646633,915030.950455248
2022-12-12,842135.8811747524,929478.8738785632
2022-12-13,841685.4584490749,932310.6737029237
2022-12-14,839706.3130404445,928421.4066641575
2022-12-15,822060.9231707546,907534.9343754255
2022-12-16,815031.9086901637,899833.4894869885
2022-12-19,810116.456671426,895380.2541701033
2022-12-20,811539.1191279384,897900.3873144508
2022-12-21,823284.1243311855,912298.1280246429
2022-12-22,817405.5737254116,902758.928118602
2022-12-23,822881.003885934,907581.7003931869
2022-12-27,823524.341448495,908610.2324687493
2022-12-28,814711.9229800197,898610.3125475467
2022-12-29,823049.4308192226,908042.8474952687
2022-12-30,819680.6626727077,906032.4425901753
2023-01-03,819287.2042757961,
